store_name,address,Latitude,Longitude,district,district_en
송주불냉면,서울 송파구 가락동 12-5,37.501481,127.1260622,송파구,songpa_gu
제비파스타&리조또 송파점,서울 송파구 송파동 143-2,37.5071807,127.116107,송파구,songpa_gu
공드리 미역진국 밥한상&순두부,서울 송파구 잠실동 176-2,37.5109128,127.0793034,송파구,songpa_gu
쉐프의 육미,서울 동작구 상도동 323-25,37.4985818,126.9290381,동작구,dongjak_gu
맛없으면 환불해주는 김치찜 동작점,서울 동작구 상도동 314-16,37.4996193,126.9325042,동작구,dongjak_gu
청담한우육회&육회비빔밥,서울 동작구 사당동 139-43,37.4874677,126.9812272,동작구,dongjak_gu
마라농장,서울 동작구 노량진동 233-6,37.5097798,126.9403587,동작구,dongjak_gu
애플하우스,서울 동작구 사당동 138-4,37.4862602,126.9806359,동작구,dongjak_gu
신나족발,서울 동작구 대방동 23,37.5121909,126.9321846,동작구,dongjak_gu
곱창의전설 노량진점,서울 동작구 노량진동 119-161,37.5114092,126.9447253,동작구,dongjak_gu
본설렁탕 문정역점,서울 송파구 문정동 643-1,37.4855846,127.1225635,송파구,songpa_gu
최가부엌,서울 송파구 오금동 45-4,37.503755,127.1269016,송파구,songpa_gu
럭키갈비찜,서울 동작구 사당동 150-28,37.4847622,126.9791523,동작구,dongjak_gu
포들 보라매점,서울 동작구 신대방동 708,37.4912491,126.9247975,동작구,dongjak_gu
BJ냉면,서울 관악구 봉천동 729-32,37.4911673,126.9250989,관악구,gwanak_gu
꽃찬찜닭 왕십리점,서울 성동구 행당동 133-7,37.558771,127.037157,성동구,seongdong_gu
닥엔돈스 왕십리점,서울 성동구 행당동 319-29,37.5580648,127.0348799,성동구,seongdong_gu
도담죽,서울 동작구 상도1동 355-2,37.5001684,126.9516927,동작구,dongjak_gu
경성덮밥,서울 동작구 사당동 1051-41,37.4763771,126.9723514,동작구,dongjak_gu
대창을덮다호르몬동전문점,서울 성동구 성수동1가 8-26,37.5469006,127.0466993,성동구,seongdong_gu
로컬릿,서울 성동구 옥수동 201-1,37.5409307,127.014767,성동구,seongdong_gu
알촌한양대점,서울 성동구 행당동 19-112,37.5586337,127.0401633,성동구,seongdong_gu
효자동설렁탕,서울 동작구 상도동 504-3,37.4946909,126.9570845,동작구,dongjak_gu
