,store_name,address,district,district_en
204,보길도 활어회,서울 서대문구 북아현동 180-16,서대문구,seodaemun_gu
205,돈낙곱순,서울 서대문구 홍제동 176-6,서대문구,seodaemun_gu
206,밥스틸러김치찜 명지대점,서울 서대문구 홍은동 398-11,서대문구,seodaemun_gu
207,팔백국밥 신촌점,서울 서대문구 창천동 53-59,서대문구,seodaemun_gu
208,화덕 등갈비,서울 서대문구 연희동 141-34,서대문구,seodaemun_gu
209,곤지암할매국밥&왕갈비탕 신림점,서울 관악구 신림동 1680-4,관악구,gwanak_gu
210,행복한찜닭,서울 서대문구 대현동 60-7,서대문구,seodaemun_gu
211,길상식당,서울 서대문구 창천동 57-34,서대문구,seodaemun_gu
212,명물 옛날 수제 돼지갈비,서울 서대문구 창천동 2-28,서대문구,seodaemun_gu
213,일품아구찜,서울 송파구 문정동 652,송파구,songpa_gu
214,일품낙지 & 쭈꾸미,서울 송파구 문정동 652,송파구,songpa_gu
215,일품갈비 & 냉면,서울 송파구 문정동 652,송파구,songpa_gu
216,금메달 아구찜,서울 송파구 문정동 652,송파구,songpa_gu
217,삼겹 & 제육끝판왕,서울 송파구 문정동 652,송파구,songpa_gu
218,달보드레안주마을,서울 송파구 잠실동 196,송파구,songpa_gu
219,풀리어트샐러드,서울 송파구 문정동 651,송파구,songpa_gu
220,98떡볶이,서울 송파구 마천동 141-17,송파구,songpa_gu
221,솜고래다방,서울 관악구 신림동 1525-4,관악구,gwanak_gu
222,남도한정식,서울 용산구 한강로3가 16-9,용산구,yongsan_gu
223,라쿤피자,서울 송파구 방이동 124-22,송파구,songpa_gu
224,정통마라탕 마포마라회관 선릉점,서울 강남구 대치동 896-16,강남구,gangnam_gu
225,헬키푸키 선릉점,서울 강남구 대치동 908,강남구,gangnam_gu
226,신밥샵,서울 성동구 마장동 388-19,성동구,seongdong_gu
227,화양양고기꼬치전문점,서울 광진구 화양동 9-50,광진구,gwangjin_gu
228,정성성 도시락,서울 강남구 역삼동 797-3,강남구,gangnam_gu
229,타코로코,서울 서대문구 창천동 53-20,서대문구,seodaemun_gu
230,리틀갱스터,서울 용산구 도원동 3-6,용산구,yongsan_gu
231,배떡 홍제점,서울 서대문구 홍제동 154-10,서대문구,seodaemun_gu
232,삼미마라탕,서울 서대문구 창천동 62-23,서대문구,seodaemun_gu
233,캘리인더볼,서울 서대문구 창천동 445,서대문구,seodaemun_gu
234,미타우동,서울 서대문구 홍제동 287-216,서대문구,seodaemun_gu
235,민정이네 베트남 쌀국수,서울 서대문구 홍제동 287-49,서대문구,seodaemun_gu
236,아비꼬 신촌점,서울 서대문구 창천동 5-31,서대문구,seodaemun_gu
237,엘살루드,서울 서대문구 창천동 2-21,서대문구,seodaemun_gu
238,화라라마라탕,서울 서대문구 대현동 34-34,서대문구,seodaemun_gu
239,한뿌리죽 이촌본점,서울 용산구 이촌동 301-10,용산구,yongsan_gu
240,신룽푸 마라탕,서울 서대문구 대현동 60-8,서대문구,seodaemun_gu
241,홍대개미 신촌점,서울 서대문구 창천동 18-9,서대문구,seodaemun_gu
242,정 한뿌리죽 키친 송파점,서울 송파구 방이동 218-25,송파구,songpa_gu
243,유가네닭갈비 신대방삼거리역점,서울 동작구 상도동 328-10,동작구,dongjak_gu
244,전골떡볶이 덕미가,서울 서대문구 대현동 54-9,서대문구,seodaemun_gu
245,언젠가는,서울 동작구 사당동 88-11,동작구,dongjak_gu
246,생백골뱅이집,서울 마포구 상암동 2-141,마포구,mapo_gu
247,제비뽑기,서울 성동구 성수동2가 277-40,성동구,seongdong_gu
248,포보스 쌀국수,서울 성동구 성수동2가 280,성동구,seongdong_gu
249,세미,서울 광진구 광장동 257-4,광진구,gwangjin_gu
250,포아이니베트남쌀국수 광장점,서울 광진구 광장동 287-4,광진구,gwangjin_gu
251,37.5 파스타 브런치 광진점,서울 광진구 광장동 322-6,광진구,gwangjin_gu
252,와로샐러드 서울지점,서울 송파구 가락동 174-24,송파구,songpa_gu
253,황금해장국,서울 송파구 마천동 125-23,송파구,songpa_gu
254,만들다,서울 송파구 마천동 128-9,송파구,songpa_gu
255,아토키토 샐러드&포케 가좌점,서울 서대문구 북가좌동 484,서대문구,seodaemun_gu
256,타이반쩜상암점,서울 서대문구 북가좌동 372-14,서대문구,seodaemun_gu
257,도화곱창,서울 마포구 도화동 179-7,마포구,mapo_gu
258,샐러드 스웨이쿡,서울 광진구 군자동 150-12,광진구,gwangjin_gu
259,사위식당,서울 마포구 공덕동 467,마포구,mapo_gu
260,두찜광진중곡점,서울 광진구 중곡동 30-80,광진구,gwangjin_gu
261,소풍가는날,서울 마포구 합정동 411-13,마포구,mapo_gu
262,봉피양마포,서울 마포구 용강동 50-3,마포구,mapo_gu
263,골드김밥마포점,서울 마포구 상수동 324-7,마포구,mapo_gu
264,봉추찜닭 숙대점,서울 용산구 청파동3가 26-15,용산구,yongsan_gu
265,황금소,서울 용산구 용문동 18-15,용산구,yongsan_gu
266,아구듬뿍알곤마니,서울 관악구 봉천동 1566-3,관악구,gwanak_gu
267,피슈 마라 홍탕 마포역점,서울 마포구 도화동 201-42,마포구,mapo_gu
268,솔트앤스낵신림점,서울 관악구 신림동 1630-2,관악구,gwanak_gu
269,미미마라탕,서울 서초구 반포동 18-4,서초구,seocho_gu
270,소문난 순대국,서울 관악구 신림동 1587-34,관악구,gwanak_gu
271,황금족발보쌈,서울 동작구 사당동 224-52,동작구,dongjak_gu
272,양촌떡갈비,서울 관악구 신림동 1592-1,관악구,gwanak_gu
273,너구리전집,서울 관악구 신림동 1587-33,관악구,gwanak_gu
274,신원시장 고려왕족발,서울 관악구 신림동 1600-2,관악구,gwanak_gu
275,전라도호남댁 헝아네,서울 관악구 신림동 1640-38,관악구,gwanak_gu
276,국민낙곱새 송파점,서울 송파구 가락동 130,송파구,songpa_gu
277,양지88순대,서울 관악구 신림동 1640-38,관악구,gwanak_gu
